fullid,mode,stidstrt,stidsch,stidstd,SchName,Fname,Testdate,ST001Q01_15,ST002Q01_15,ST003Q01_15,ST003Q02_15,ST003Q03_15,ST004Q01_15,ST126Q01_15,ST127Q01_15,ST127Q02_15,ST127Q03_15,ST014Q01_15,ST014Q02_15,ST005Q01_15,ST006Q01_15,ST006Q02_15,ST006Q03_15,ST006Q04_15,ST015Q01_15,ST015Q02_15,ST007Q01_15,ST008Q01_15,ST008Q02_15,ST008Q03_15,ST008Q04_15,ST019Q01_15,ST019Q02_15,ST019Q03_15,ST021Q01_15,ST022Q01_15,LANGHOME,ST011Q01_15,ST011Q02_15,ST011Q03_15,ST011Q04_15,ST011Q05_15,ST011Q06_15,ST011Q07_15,ST011Q08_15,ST011Q09_15,ST011Q010_15,ST011Q011_15,ST011Q012_15,ST011Q013_15,ST011Q014_15,ST011Q015_15,ST011Q016_15,ST012Q01_15,ST012Q02_15,ST012Q03_15,ST012Q04_15,ST012Q05_15,ST012Q06_15,ST012Q07_15,ST012Q08_15,ST013Q01_15,ST88Q01_12,ST88Q02_12,ST88Q03_12,ST88Q04_12,ST86Q01_12,ST86Q02_12,ST86Q03_12,ST86Q04_12,ST86Q05_12,ST55Q01_12,ST55Q02_12,ST55Q03_12,ST55Q04_12,ST41Q01_9,ST41Q02_9,ST41Q03_9,ST41Q04_9,ST41Q05_9,ST41Q06_9,ST42Q01_9,ST42Q02_9,ST42Q03_9,ST42Q04_9,ST42Q05_9,ST25Q01_9,ST25Q02_9,ST25Q03_9,ST25Q04_9,ST25Q05_9,ST81Q01_12,ST81Q02_12,ST81Q03_12,ST81Q04_12,ST81Q05_12,ST29Q01_12,ST29Q02_12,ST29Q03_12,ST29Q04_12,ST29Q05_12,ST29Q06_12,ST29Q07_12,ST29Q08_12,ST37Q01_12,ST37Q02_12,ST37Q03_12,ST37Q04_12,ST37Q05_12,ST37Q06_12,ST37Q07_12,ST37Q08_12,ST36Q01_09,ST36Q02_09,ST36Q03_09,ST36Q04_09,ST36Q05_09,ST063Q01_15,ST063Q02_15,ST063Q03_15,ST063Q04_15,ST063Q05_15,ST063Q06_15,ST065Q01_15,ST129Q01_15,ST129Q02_15,ST129Q03_15,ST129Q04_15,ST129Q05_15,ST129Q06_15,ST129Q07_15,ST129Q08_15,ST097Q01_15,ST097Q02_15,ST097Q03_15,ST097Q04_15,ST097Q05_15,ST113Q01_15,ST113Q02_15,ST113Q03_15,ST113Q04_15,ST114Q01_15,ST103Q01_15,ST103Q02_15,ST103Q03_15,ST103Q04_15,ST107Q01_15,ST107Q02_15,ST107Q03_15,ST131Q01_15,ST131Q02_15,ST131Q03_15,ST131Q04_15,ST131Q05_15,ST131Q06_15,ST27Q01_6,ST27Q02_6,ST27Q03_6,ST27Q04_6,LANG,OCIN1,OCIN2,OCOD1,OCOD2,Age,nationality,BFMJ1,BMMJ1,DISCLIM,DISCLIMA,DISCLIMS,ESCS,FAMSTRUC,FISCED,HISCED,HISEI,HOMEPOS,IMMIG,INSTMOT,INSTSCIE,MATHEFF,SCIEEFF,METASUM,MISCED,PARED,SCIEEFF_1,STUDREL,UNDREM,WEALTH,pv1math,pv2math,pv3math,pv4math,pv5math,pv1read,pv2read,pv3read,pv4read,pv5read,pv1scie,pv2scie,pv3scie,pv4scie,pv5scie,bookid,W_STU,rwgt1,rwgt2,rwgt3,rwgt4,rwgt5,rwgt6,rwgt7,rwgt8,rwgt9,rwgt10,rwgt11,rwgt12,rwgt13,rwgt14,rwgt15,rwgt16,rwgt17,rwgt18,rwgt19,rwgt20,rwgt21,rwgt22,rwgt23,rwgt24,rwgt25,rwgt26,rwgt27,rwgt28,rwgt29,rwgt30,rwgt31,rwgt32,rwgt33,rwgt34,rwgt35,rwgt36,rwgt37,rwgt38,rwgt39,rwgt40,rwgt41,rwgt42,rwgt43,rwgt44,rwgt45,rwgt46,rwgt47,rwgt48,rwgt49,rwgt50,rwgt51,rwgt52,rwgt53,rwgt54,rwgt55,rwgt56,rwgt57,rwgt58,rwgt59,rwgt60,rwgt61,rwgt62,rwgt63,rwgt64,rwgt65,rwgt66,rwgt67,rwgt68,rwgt69,rwgt70,rwgt71,rwgt72,rwgt73,rwgt74,rwgt75,rwgt76,rwgt77,rwgt78,rwgt79,rwgt80
NA,PAPER,NA,MX-NVL-0053,40694,NA,NA,5/23/2018,3,1,30,06,2003,1,6,1,1,NA,AMA DE CASA,SE OCUPA DEL HOGAR,1,99,1,99,99,INGENIERIA,ADMINISTRA,1,99,1,1,99,19,30,30,99,156,NA,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,4,3,4,4,4,4,1,3,1,4,3,4,2,3,3,2,2,4,1,1,1,1,5,1,4,3,2,1,4,3,99,2,4,1,1,1,1,1,3,3,3,3,3,4,2,4,3,2,4,2,2,3,1,1,1,1,3,1,3,3,3,4,4,4,1,1,2,2,1,1,quimica,1,1,1,2,1,3,3,2,3,3,3,3,3,2,2,2,3,DISEÑO ARQUITECTÓNICO,2,3,3,2,3,1,1,3,3,3,3,3,3,2,2,2,2,NA,NA,NA,NA,NA,15,NA,2149,9501,-0.06540760844416826,0.9300612916084376,-0.6878298698330785,NA,NA,5B,NA,70,NA,NA,0.044455419096078946,-0.011325507949322307,0.1747028679009189,0.7285232191333785,-1.2276925489652406,5B,14,NA,-1.2276925489652406,-1.2276925489652406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-COA-0012,14559,NA,NA,6/1/2018,3,1,30,08,2003,2,6,1,1,NA,EJECUTIVO DE BANCO,VENTA DE PRODUCTOS BANCARIOS,1,2,1,2,2,DESCONOCIDO,DESCONOCIDO,1,2,2,2,2,8,8,7,99,156,NA,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,3,2,3,3,2,4,1,3,3,3,3,2,1,2,2,2,1,1,1,1,1,1,5,2,6,6,6,5,4,4,6,6,6,2,2,4,3,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,1,1,QUIMICA,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,INGENIERO EN MECATRONICA,3,2,4,4,2,1,1,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,15,NA,9997,4211,-1.916192152161519,-2.2459637331521214,-2.0160876632008513,NA,NA,3A,NA,44,NA,NA,1.5347776318657016,1.7631673334043416,-0.16599704131546886,0.7285232191333785,0.7395662698636141,5B,14,NA,0.7395662698636141,0.7395662698636141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-MIC-0001,1313,NA,NA,5/29/2018,3,1,30,10,2003,2,5,1,1,NA,AMA DE CASA,COCINAR Y LIMPIAR,1,2,1,1,1,DIRECTOR GENERAL,ADMINSTRAR UN CLUB DEPORTIVO,1,1,1,1,1,16,16,18,99,156,NA,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,4,4,4,4,4,4,1,2,2,2,3,2,1,2,2,2,2,3,1,1,1,1,4,1,1,1,5,1,4,3,3,4,4,2,1,1,1,1,3,3,2,4,2,4,4,3,2,1,2,1,1,1,1,2,2,1,3,1,2,3,3,3,3,3,2,1,2,2,1,2,Quimica,1,1,1,1,2,2,1,1,4,3,2,4,4,2,2,2,2,TENER UNA EMPRESA,2,2,3,3,2,3,2,3,3,2,2,2,2,3,3,3,3,NA,NA,NA,NA,NA,15,NA,1120,9501,-0.3102627601676448,0.025726774965539292,-0.28717745021367813,NA,NA,6,NA,70,NA,NA,0.4510999973131331,0.39251703070865807,0.36255858834140087,1.8309250435240945,-0.4764365886525934,5B,16,NA,-0.4764365886525934,-0.4764365886525934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-QTO-0020,4601,NA,NA,6/6/2018,3,1,30,11,2002,2,6,1,1,NA,IMPULSE,NO SÉ,1,2,2,2,2,TECNICO LAPAROSCOPICO,ARMAS EQUIPO MEDICO,1,2,2,2,2,22,22,12,99,156,NA,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,3,4,4,3,4,1,2,3,4,4,2,2,2,2,2,2,2,1,1,1,4,6,6,6,6,6,6,4,4,4,6,6,1,1,1,1,1,3,3,3,3,4,4,2,3,3,2,3,2,2,2,2,2,2,3,2,3,4,4,4,4,4,2,1,2,2,2,2,2,quimica,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,AVIADOR,3,1,3,3,2,4,2,3,3,3,3,3,3,1,1,2,1,NA,NA,NA,NA,NA,16,NA,3211,9997,0.2085347751735916,0.9300612916084376,-0.6878298698330785,NA,NA,3A,NA,51,NA,NA,0.044455419096078946,-0.5151719114584139,-0.7822310411422729,3.2190875504314875,-0.05335962664536013,3A,12,NA,-0.05335962664536013,-0.05335962664536013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-CHI-0042,34129,NA,NA,5/24/2018,3,1,30,12,2003,1,5,1,1,NA,PROFESORA,DA CLASES EN UNA ESCUELA,1,2,1,1,1,ADMINISTRADOR DE EMPRESAS,TRABAJA EN UN LOTE DE AUTOS,1,1,1,1,1,6,6,6,99,156,NA,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,3,2,2,1,2,3,3,2,4,2,3,2,3,3,3,1,1,1,1,4,2,4,3,3,2,3,1,3,6,6,1,1,4,2,2,3,3,4,4,2,4,3,3,3,2,3,3,3,1,1,1,1,3,4,3,3,3,3,4,3,2,2,1,2,99,99,99,Quimica,2,1,1,1,3,1,1,2,3,2,2,3,3,3,3,2,3,NO SE,3,1,4,3,2,1,1,4,3,3,3,4,3,3,3,2,3,NA,NA,NA,NA,NA,15,NA,3322,2300,0.2085347751735916,0.025726774965539292,-1.0793186255349505,NA,NA,6,NA,63,NA,NA,-0.8614884876033537,-0.5151719114584139,-0.3255016542737958,1.2040564870768893,-1.2276925489652406,5B,16,NA,-1.2276925489652406,-1.2276925489652406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-COA-0040,12933,NA,NA,6/6/2018,3,1,31,03,2003,1,6,1,1,NA,"NEGOCIO PROPIO, RESTAURANTE",AHORA E DEDICA AL HOGAR,1,2,1,2,2,INGENIERO,SUPERVISA PROYECTOS Y ES GERENTE,1,2,1,2,2,11,15,20,99,156,NA,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,4,3,4,4,4,4,1,3,3,3,4,1,1,1,1,2,2,2,4,4,4,5,3,3,4,5,4,4,4,3,4,5,5,2,1,3,2,1,4,3,4,4,4,2,1,2,1,1,1,1,2,1,1,2,1,1,3,2,2,4,4,4,4,4,2,1,2,2,1,2,QUIMICA,1,1,2,2,1,1,2,1,4,3,4,4,4,1,2,2,2,DOCTORA,3,2,4,3,4,4,4,4,2,3,4,3,4,1,1,1,1,NA,NA,NA,NA,NA,16,NA,2149,9501,1.201103446534791,1.843687335263907,0.06993274275571477,NA,NA,5B,NA,70,NA,NA,1.0488454294913507,0.8008954075688883,0.36255858834140087,1.487287493761061,0.7395662698636141,5B,14,NA,0.7395662698636141,0.7395662698636141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-NAY-0008,6176,NA,NA,6/12/2018,3,1,31,05,2003,2,6,1,1,NA,MAESTRA DE PREESCOLAR,DABA CLASES EN INSTITUTO,1,2,1,1,1,JEFE DE VENTAS,DIRIGE UN EQUIPO DE VENTAS,1,2,1,1,1,18,18,18,99,156,NA,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,4,3,3,4,2,4,3,2,2,3,4,2,2,2,2,2,2,2,4,4,4,5,6,5,4,6,6,4,5,3,4,6,6,3,1,2,4,3,4,4,4,1,3,3,2,2,3,2,2,2,2,2,3,3,1,1,2,3,2,4,3,4,4,4,2,1,2,2,1,2,quimica,3,1,2,2,1,2,1,1,4,4,4,4,4,4,1,1,1,ADMINISTRADOR DE EMPRESAS,4,3,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,NA,NA,NA,NA,NA,15,NA,1221,2300,0.2085347751735916,1.2660917358460213,0.3950114354504379,NA,NA,5B,NA,66,NA,NA,0.044455419096078946,0.8008954075688883,-0.3255016542737958,0.9552491338359298,-0.05335962664536013,5B,14,NA,-0.05335962664536013,-0.05335962664536013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-PUE-0005,36163,NA,NA,6/6/2018,3,1,31,10,2002,2,6,99,2,NA,AMA DE CASA,SE OCUPA DEL HOGAR,1,2,2,2,2,TIENE RELOGERIAS Y JOYERIAS,VENDE Y COMPRA ORO VENDE RELOJES Y LOS COMPONE,3,2,2,2,2,21,21,21,99,156,NA,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,4,3,4,4,3,4,2,4,3,1,4,1,1,1,1,1,2,1,2,2,99,2,4,3,3,6,4,2,3,3,5,6,5,3,1,4,2,5,4,3,4,4,3,3,1,2,2,1,1,1,1,2,3,4,2,3,3,2,2,4,3,4,4,3,99,1,99,99,1,99,Quimica,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,INGENIERO CIVIL,4,3,4,4,3,4,3,3,4,4,4,4,4,1,1,1,1,NA,NA,NA,NA,NA,16,NA,1120,9501,0.8139722627365706,0.9300612916084376,0.3950114354504379,NA,NA,2,NA,70,NA,NA,1.5347776318657016,0.39251703070865807,-0.931178688223806,0.318194279515603,1.4396447754851474,3A,12,NA,1.4396447754851474,1.4396447754851474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-GTO-0006,4094,NA,NA,6/5/2018,3,1,16,08,2003,1,6,1,1,NA,CONTADORA,SE ENCARGA DE ADMINISTRAR EMPRESAS Y VER QUE LA CANTIDAD DE PAGO SEA CORRECTA,1,99,1,99,99,INGENIERO EN MÁQUINAS,CREA MÁQUINAS PARA EXPORTARLAS Y VIAJA PARA VER QUE LAS MÁQUINAS FUNCIONEN COMO DEBE SER.,1,99,1,99,99,12,12,12,99,156,NA,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,2,3,4,3,4,2,2,2,2,4,2,1,2,2,2,1,1,2,2,2,2,4,4,3,6,5,3,5,2,3,5,6,4,2,3,4,1,3,3,2,4,3,4,2,4,3,2,3,3,2,2,1,2,2,3,3,4,3,3,3,3,4,3,2,1,2,2,2,2,Quimíca,3,1,2,3,2,3,2,3,2,3,3,4,3,1,1,1,1,VETERINARIA,2,1,4,3,2,3,2,3,3,4,4,3,3,2,2,3,2,NA,NA,NA,NA,NA,15,NA,1321,2411,-0.06540760844416826,0.3519512047600428,-0.7928876133573919,NA,NA,5B,NA,66,NA,NA,-0.3551011698981513,1.7631673334043416,-0.7822310411422729,-0.22792761571413347,0.7395662698636141,5B,14,NA,0.7395662698636141,0.7395662698636141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-QTO-0010,4120,NA,NA,6/7/2018,3,1,2,9,2002,1,6,1,1,NA,GERENTE ADMINISTRATIVO DE EMPRESA FAMILIAR,SE ENCARGA DE TODA LA PARTE INTERNA DE LA FABRICA,1,2,1,2,2,NO VIVO CON MI PAPA,NO LO SÉ,1,2,1,2,2,22,21,13,99,156,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,3,4,4,4,2,1,1,2,2,2,2,1,3,1,1,4,3,6,5,6,4,6,2,3,6,6,2,1,4,3,1,3,2,3,4,3,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,4,4,4,4,3,2,1,2,2,1,2,química,2,2,2,2,3,1,2,2,4,4,4,4,4,3,3,2,3,DIRECTORA GENERAL DE GRUPO SERRANO (EMPRESARIA Y ADMINISTRACIÓN DE EMPRESAS),4,4,4,3,4,3,3,3,4,4,4,4,4,2,1,2,2,NA,NA,NA,NA,NA,16,NA,9997,1321,-0.06540760844416826,1.2660917358460213,0.3950114354504379,NA,NA,5B,NA,63,NA,NA,1.0488454294913507,-0.5151719114584139,1.5074988760037746,0.318194279515603,0.39111047317420755,5B,14,NA,0.39111047317420755,0.39111047317420755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-QTO-0010,4161,NA,NA,6/7/2018,3,1,4,10,2002,1,6,1,1,NA,PROFESORA,DA CLASES DE INGLÉS EN UN KINDER,1,99,2,99,99,ADMINISTRADOR,AYUDA A SU JEFE A ORGANIZAR,1,99,1,99,99,22,22,6,99,156,NA,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,3,4,4,3,1,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,6,2,6,6,4,5,4,1,5,6,6,4,1,1,1,4,3,2,2,3,1,4,1,3,3,1,2,1,1,1,1,3,2,2,2,2,1,4,4,4,4,4,2,1,2,99,1,99,química,2,1,2,2,1,1,1,2,4,4,4,4,4,2,1,1,1,NO SE QUE QUIERA ESTUDIAR,4,2,3,4,4,3,3,4,4,4,3,3,3,1,1,1,1,NA,NA,NA,NA,NA,16,NA,2421,2342,-0.8764087793524161,1.843687335263907,0.3950114354504379,NA,NA,5B,NA,59,NA,NA,1.5347776318657016,1.3358230145684036,0.1747028679009189,1.2040564870768893,2.0853459132506864,3A,14,NA,2.0853459132506864,2.0853459132506864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-QTO-0010,4142,NA,NA,6/7/2018,3,1,5,10,2002,1,6,1,1,NA,MÉDICO GENERAL,REVISA A LOS ENFERMOS EN UN HOSPITAL.,1,99,1,99,99,MÉDICO TRAUMATOLOGO ORTOPEDISTA.,"REVISA FRATURAS, ESGUINCES, LESIONES.",1,99,1,99,99,11,99,99,99,156,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,4,4,4,4,3,3,1,1,3,2,3,2,1,2,2,2,2,2,1,1,1,3,2,3,4,6,5,1,3,2,5,6,6,4,1,2,2,1,3,3,2,3,3,3,1,2,2,1,1,1,1,1,1,2,1,1,3,3,1,4,4,4,4,4,2,1,2,2,1,2,Química,1,1,1,2,1,1,3,1,4,4,4,4,4,1,1,1,1,99,4,4,4,4,4,3,3,3,4,4,3,4,4,2,1,1,1,NA,NA,NA,NA,NA,16,NA,2212,2211,-0.3102627601676448,1.843687335263907,0.3950114354504379,NA,NA,5B,NA,89,NA,NA,1.5347776318657016,1.7631673334043416,0.36255858834140087,1.487287493761061,-0.05335962664536013,5B,14,NA,-0.05335962664536013,-0.05335962664536013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-NVL-0053,40730,NA,NA,5/23/2018,3,1,5,11,2002,2,7,1,1,NA,PSICÓLOGA,TIENE PACIENTES EN SU CONSULTORIO,1,2,1,2,1,ES DIRECTOR NACIONAL DE VENTAS,VIAJA Y AYUDA A EMPRESAS PARA VENDER,1,2,1,2,1,6,19,11,99,156,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,3,4,4,4,4,1,4,4,2,4,2,2,1,2,2,2,2,3,2,2,2,4,4,4,4,4,4,5,5,5,5,5,1,5,3,3,1,3,3,3,3,3,4,2,4,4,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,1,1,2,2,2,1,Química,2,1,3,1,1,2,3,3,3,3,3,4,3,4,4,4,4,NO SE :V,2,2,2,2,3,3,3,4,3,3,4,3,4,2,2,2,2,NA,NA,NA,NA,NA,16,NA,1221,2634,-0.06540760844416826,1.843687335263907,-0.4930353287244416,NA,NA,5B,NA,74,NA,NA,0.044455419096078946,-1.9996357126779445,-0.16599704131546886,0.318194279515603,0.39111047317420755,5B,14,NA,0.39111047317420755,0.39111047317420755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
